Date,Treatment_Temp,Unit,FFKE#,InitialC0 __PostC1_POCIS,FF#_Running,FF#_Running,Acetaminophen,Amoxicillin,Ampicillin,Atenolol,Atrazine,Benzophenone_1,Benzophenone_3,Beta-Cyfluthrin,Buspirone,Caffeine,Carbamazepine_A,Carbaryl,Chlorpyrifos,Chlortetracycline,Citalopram,Clarithromycin,Clothianidin,Cyhalothrin,DEET,Erythromycin,Esfenvalerate,Ibuprofen,Imidacloprid,Ketoprofen,Malathion,Metformin,Metoprolol,Naproxen,Ofloxacin,Oxytetracycline,Permethrin,Simazine,Sucralose,Sulfadiazine,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiacloprid,Thiamethoxam,Trimethoprim,Venlafaxine,,
6/8/2023,45,2,14,C1,30,FF-30,0.0107,NA,NA,0,0.0052,0.0007,NA,NA,0.0002,0.0095,0.002,0.0001,0.0001,0.0045,0,0,0.0061,NA,0.0025,0,0,0.009,0.0024,0.0033,0,0.0071,0.0026,0.0055,0.0122,0.0006,NA,0.0055,0.0052,0.008,0.0055,0.0049,0.0056,0.0002,0.0087,0.0006,0.0029,0.02,0.0038,,
6/7/2023,45,3,15,C0,31,FF-31,0.0078,NA,0.0013,0,0.0068,0.0004,NA,NA,0.0001,0.0091,0.0025,0,0.0001,0.0054,NA,0.001,0.0052,NA,0.0033,0.0022,NA,0.0163,0.0027,0.0037,NA,0.0069,0.0036,0.007,0.0153,0.0004,NA,0.0071,0.0073,0.0076,0.0061,0.0049,0.0054,0.0002,0.0083,0.0006,0.0053,0.0245,0.0055,,
6/8/2023,45,3,15,C1,32,FF-32,0.0063,NA,NA,NA,0.0041,0.0007,NA,NA,0.0001,0.0074,0.0016,0,0.0001,0.0036,0,0.0008,0,NA,0.0019,0.0022,0,0.0117,0.0018,0.0026,0,0.0058,0.002,0.0053,0.0104,0.0002,NA,0.0042,0.0042,0.0065,0.0055,0.0038,0.0045,0,0.0065,0,0.0024,0.0161,0.0031,,
6/7/2023,45,4_Control,16,C0,33,FF-33,0.0044,0.0001,0.0003,0,0,0.0009,0.0139,NA,0.0001,0.0055,0.0024,0.0003,0.0005,0,0.0001,0.0002,0.0068,0.0003,0.0033,0.0007,0.0001,0.0073,0.0026,0.0039,0,0.0069,0.002,0.0076,0.0061,0.0003,NA,0.0079,0.0063,0.0047,0.0081,0.0045,0.0047,0.0001,0,0.0013,0.0038,0.0181,0.0048,,
6/8/2023,45,4_Control,16,C1,34,FF-34,0.0039,NA,NA,0,0.0064,0.0009,0,NA,0.0001,0.0051,0.0023,0.0002,0.0003,0.0034,0.0001,0.0002,0.0058,0.0002,0.0032,0.0008,0,0.007,0.0024,0.0038,0,0.0061,0.0024,0.0073,0.0086,0.0002,NA,0.0075,0.0057,0.0046,0.0079,0.0041,0.0047,0.0001,0,0.001,0.0017,0.0127,0.0043,,
6/13/2023,4,Soak,0,0,49,FF-49,NA,NA,0.0047,0,0.0019,0.0021,0.0088,NA,0.0042,0.0072,0.0029,0.0041,0.0045,0.0002,0.0031,0.0034,0.0014,0.0024,0.0026,0.0045,0.0057,0.0016,0.0047,0.0011,0.0042,0,0.0002,0.0006,0.0016,0.0058,0.0079,0.0009,0.0001,0.0065,0.0052,0.0138,0.0054,0.0002,0.0012,0.001,0.0002,0.0006,0.0003,, 
6/13/2023,14,Soak,0,0,50,FF-50,NA,NA,0.0028,0,0.0013,0.0014,NA,0.0272,0.003,0.0039,0.0018,0,0.0027,0,0.0021,0.0008,0.0013,0.0015,0.0017,0.0027,0.0028,0.0004,0.0082,0.0008,0.0025,0.0026,0,0.0002,0.0005,0.0043,0.0061,0.0014,0.0001,0.0044,0.0031,NA,0.0031,0.0002,0.0003,0.002,0.0003,0.0014,0.0001,, 
6/13/2023,30,Soak,0,0,51,FF-51,NA,NA,0.0024,0,0.0009,0.0012,NA,NA,0.0012,0.0031,0.0014,0.002,0.0019,0,0.0016,0.0001,0.0019,0.0011,0.0013,0.0019,0.001,0,0.0143,0.0004,0.0016,0.0018,0,0.0001,0.0009,0.0042,0.0037,0.0013,0,0.0035,0.0024,NA,0.0025,0.0004,0.0009,0.0015,0,0.0009,0.0001,, 
6/13/2023,45,Soak,0,0,52,FF-52,0.0307,NA,0.0012,0,0.0006,0.0009,NA,0.0421,0,0,0.0011,0.0001,0.0017,0,0.0015,0.0001,0.0006,0.0009,0.001,0.0017,0,0,0.0078,0.0004,0.0013,0.0014,0,0.0001,0.0007,0.0026,0.0042,0.0007,0.0003,0.0028,0.002,NA,0.002,0.0001,0.0006,0.0009,0.0008,0.0005,0.0008,, 
6/14/2023,30,1,9,C0,53,FF-53,0.0169,NA,0.0007,0,0.0166,0.0009,NA,0.0407,0.0017,0.0139,0.006,0.0018,0.0015,0.0046,0.0065,0,0.0124,0.0017,0.001,0.0015,0.0009,NA,0.0157,0.0065,0.011,0.0013,0.0046,0.0142,0.0076,0.0193,0.035,0.0018,0.0157,0.0273,0.0192,NA,0.0135,0.0093,0.0131,0.0016,0,0.011,0.002,, 
